,date,year,month,day,content,replies,retweet,likes
43,2020-04-22 14:01:25,2020,4,22,sektor riil yang serap banyak tenaga kerja adalah salah satu yang sangat pukul dengan ada pandemi covid selain sektor informal perlu selamat stimulus ekonomi untuk sektor ini agar mereka mampu tahan dan tidak laku phk hadap para karyawan,667,691,5625
44,2020-04-22 08:19:15,2020,4,22,kemudi sepeda motor dan mobil dari pt pos indonesia ojek daring dan pangkal karang taruna dan pasar tani libat untuk salur paket bantu sosial sembako ke keluargakeluarga dampak covid di jabodetabek mereka akan terima di diam masingmasing,832,1698,10431
45,2020-04-21 14:09:42,2020,4,21,perintah mulai gulir paket bantu sosial untuk wilayah dki jakarta susul wilayah bodetabek program kartu prakerja mulai jalan bansos tunai juga mulai kerja minggu ini maka itu perintah pun tetap larang mudik bagi seluruh masyarakat,1294,1564,9712
46,2020-04-21 08:19:33,2020,4,21,terkadang sulit harus kamu rasa lebih dahulu belum bahagia yang sempurna datang kepada raden adjeng kartini,1476,15966,54158
47,2020-04-20 18:08:35,2020,4,20,sangkut tangan covid ini kepada seluruh daerah ada tiga hal yang terusmenerus saya tekan untuk laksana yakni uji sampel yang masif lacak yang agresif dan isolasi yang ketat,570,772,5856
48,2020-04-20 14:34:01,2020,4,20,keluargakeluarga yang dampak covid sebut akan terima paket bantu sebut di diam masingmasing bantu ini akan kirim dua kali dalam bulan lama tiga bulan moga manfaat,361,354,3083
49,2020-04-20 14:33:37,2020,4,20,bantu sosial upa paket sembako untuk juta kk di dki jakarta dan akan susul kepada kk di bodetabek mulai salur kirim mengikutsertakan pt pos indonesia operator ojek daring pihak karang taruna pasar tani dan kemudi ojek pangkal,1008,1733,10590
50,2020-04-18 21:28:41,2020,4,18,tinggal di rumah saja tidak buat kita makin individualistis tapi justru makin peduli satu sama lain saya percaya jika kita bisa lalu sulit ini kita akan keluar jadi bangsa yang makin kuat dan siap songsong masa depan yang lebih sejahtera,473,779,6031
51,2020-04-18 21:23:27,2020,4,18,masamasa sulit yang kita hadap saat ini tetap sisa harap upa peduli warga untuk bergotongroyong dan saling bantu kita tidak saja bersamasama atas sebar virus korona ini tapi juga jaga ekonomi tetap gerak dan putar,1110,2275,13592
52,2020-04-18 14:24:10,2020,4,18,tak mudik bukan karena tak rindu tapi karena sayang pada ayah dan ibu,1343,6816,27366
53,2020-04-16 15:10:16,2020,4,16,pertama program lindung sosial bagi mereka dua realokasi anggar yang ada di menteri pariwisata ke giat macam program padat karya atau yang lain tiga stimulus ekonomi bagi para laku usaha di sektor pariwisata dan ekonomi kreatif,240,260,2545
54,2020-04-16 15:09:49,2020,4,16,sektor pariwisata kita hotel restoran kedai rajin paling dampak oleh pandemi covid untuk para kerja di sektor pariwisata ini perlu langkah mitigasi secepatcepatnya agar tetap tahan dan tidak jadi phk cara besarbesaran,1018,1511,10867
55,2020-04-15 19:09:45,2020,4,15,hari ini saya lantik ahmad riza patria bagai wakil gubernur dki jakarta i dewa made wiarsa raka sandi bagai anggota kpu dan benny rhamdani bagai kepala badan lindung kerja migran indonesia lantik gelar dengan protokol sehat ketat selamat kerja,470,976,12391
56,2020-04-15 18:24:10,2020,4,15,semua negara rebut alatalat sehat untuk tangan covid di dalam negeri jumlah industri telah mampu produksi alatalat itu dalam jumlah besar saya telah instruksi agar izin produksi atau izin edar perusahaanperusahaan itu cepat,488,1105,8339
57,2020-04-14 19:38:59,2020,4,14,ktt asean plus three sore tadi juga bahas tantang pandemi covid dan lemah ekonomi ingat tiongkok jepang dan korea selatan masuk yang pertama hadap covid alam mereka tangan wabah ini perlu bagi dengan negaranegara asean,394,631,6283
58,2020-04-14 16:35:44,2020,4,14,indonesia dan mayoritas negara lain prediksi akan alami koreksi tajam hadap target bangun dan tumbuh ekonomi di tahun ini akibat pandemi covid kendati begitu kita tetap ikhtiar dan kerja keras kita tidak boleh pesimistis insya allah kita bisa,877,1145,7784
59,2020-04-14 16:32:45,2020,4,14,pangkas belanjabelanja yang tidak prioritas potong rencana belanja yang tidak desak seperti jalan dinas rapatrapat dan belanjabelanja lain yang tidak rasa langsung manfaat oleh rakyat,141,272,2087
60,2020-04-14 16:32:09,2020,4,14,saya telah instruksi jajar perintah daerah untuk laku refocusing serta realokasi anggar dan giat sehingga perintah pusat dan daerah milik satu visi dan prioritas yang sama untuk atas sebar covid,315,812,5813
61,2020-04-14 15:57:17,2020,4,14,tiga kita harus milik komitmen lindung warga asean masuk para kerja migran akhir kait kerja sama dengan mitra asean seperti jepang korea dan tiongkok saya sambut baik buat asean covid response fund untuk hadap situasi darurat saat ini,24,154,1373
